restaurant_name,restaurant_url,menu_type,name,description,price
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Weller 12 Year,,$35
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Weller Special Reserve,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Weller Antique 107,,$30
9 Maple Ave.,https://www.9mapleave.com/,Drink List,William Larue Weller,,$60
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Orphan Barrel Forresters Keep,,$182
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Angel's Envy,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bardstown WV Infrared,,$24
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bulleit,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Colonel EH Taylor,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Elijah Craig,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Michter's US #1 Rye,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Michter's 10 Year Rye,,$30
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Russel's Reserve,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Sazerac 6 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Thomas Handy Rye,,$37
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Whistle Pig Farmstock,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Widow Jane,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Woodinville,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Balcones Lineage,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Balcones Single Malt,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Westland,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bushmills Original,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bushmills Black Bush,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bushmills 10 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bushmills 12 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bushmills 16 Year,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bushmills 21 Year,,$45
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Clonakilty Port Cask,,$9
