restaurant_name,restaurant_url,menu_name,menu_type,section,location,name,description,price
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Avocado Toast,"Top half of any bagel, toasted, with avocado, red pepper flakes, black sesame seeds, olive oil and a lemon slice",$4.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Create Your Own….,Menu,Create Your Own….,Clifton Park,Finishing Touches,", Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Create Your Own….,Menu,Create Your Own….,Clifton Park,+,"), Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Create Your Own….,Menu,Create Your Own….,Clifton Park,+,"), Avocado (+)",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,Scramble Egg,,$3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,With Cheese,,$4.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,"With Bacon, Sausage, or Ham",,$5.60
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,The Mediterranean,"Egg, Spinach, Tomato, Avocado, and Pesto",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,The Western,"Egg, Ham, Green Pepper, Onion, and Cheddar",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Clifton Park,The Lumberjack,"Two Eggs, Sausage, Bacon, American Cheese, and Maple Syrup",$7.45
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Greek,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Caesar,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Garden,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Salads,Menu,Salads,Clifton Park,Add Protein,"Grilled Chicken, Hummus, Tuna Salad (house-made), Chicken Salad (house-made)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Soup,Menu,Soup,Clifton Park,Soup,Soup served with house-made bagel chips or oyster crackers. Soup selections vary daily.,Cup $4.99 | Bowl $5.99
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Coffee “for here”,,$2.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Vanilla Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Caramel Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,White Mocha,,Small $4.25 | Medium $4.85 | Large $5.25
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Red Eye,,Small $3.05 | Medium $3.70 | Large $4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Espresso single,,$1.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,Hot Chocolate,,Small $3.00 | Medium $3.50 | Large $3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Hot Drinks,Menu,Hot Drinks,Clifton Park,White Hot Chocolate,25 95,$3.
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Cup of Tea “for here”,,$1.90
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Pot of Tea,,$3.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Tea,Menu,Tea,Clifton Park,Tea to go,,Small $2.00 | Medium $2.40 | Large $2.60
